id,count,timestamp,timestamp_rel,source,total_plus,total_minus
1,1,1683740800.833185,4.631681442260742,Dev-Test,1,0
2,2,1683740803.8637142,7.662210702896118,Dev-Test,2,0
3,1,1683740805.0216622,8.82015872001648,Dev-Test,2,1
4,2,1683740805.9885025,9.786998987197876,Dev-Test,3,1
5,1,1683740918.7171721,3.1093883514404297,Dev-Test,1,0
6,2,1683740920.1849346,4.577150821685791,Dev-Test,2,0
7,3,1683740921.1784384,5.570654630661011,Dev-Test,3,0
8,4,1683740925.5688324,9.961048603057861,Dev-Test,4,0
9,5,1683740929.3286011,13.72081732749939,Dev-Test,5,0
10,6,1683740930.1552982,14.54751443862915,Dev-Test,6,0
11,1,1683740998.1857727,2.8468849658966064,Dev-Test,1,0
12,2,1683740999.7121952,4.373307466506958,Dev-Test,2,0
13,3,1683741000.9647214,5.625833749771118,Dev-Test,3,0
14,4,1683741001.6555324,6.316644668579102,Dev-Test,4,0
15,5,1683741010.9279394,15.589051723480225,Dev-Test,5,0
16,6,1683741011.610718,16.271830320358276,Dev-Test,6,0
17,7,1683741012.2884881,16.94960045814514,Dev-Test,7,0
18,8,1683741012.9419634,17.603075742721558,Dev-Test,8,0
19,9,1683741013.552232,18.21334433555603,Dev-Test,9,0
20,10,1683741014.1920242,18.85313653945923,Dev-Test,10,0
21,11,1683741014.7996576,19.46076989173889,Dev-Test,11,0
22,12,1683741014.9602053,19.621317625045776,Dev-Test,12,0
23,13,1683741015.132723,19.793835401535034,Dev-Test,13,0
24,14,1683741015.301333,19.96244525909424,Dev-Test,14,0
25,15,1683741015.462353,20.123465299606323,Dev-Test,15,0
26,16,1683741015.6273942,20.288506507873535,Dev-Test,16,0
27,17,1683741015.7949347,20.45604705810547,Dev-Test,17,0
28,18,1683741015.961949,20.623061418533325,Dev-Test,18,0
29,19,1683741016.1069863,20.76809859275818,Dev-Test,19,0
30,20,1683741016.2700255,20.931137800216675,Dev-Test,20,0
31,21,1683741016.5455785,21.206690788269043,Dev-Test,21,0
32,22,1683741016.7111282,21.37224054336548,Dev-Test,22,0
33,23,1683741016.857145,21.51825737953186,Dev-Test,23,0
34,24,1683741017.019022,21.680134296417236,Dev-Test,24,0
35,25,1683741017.182018,21.843130350112915,Dev-Test,25,0
36,26,1683741017.346086,22.007198333740234,Dev-Test,26,0
37,27,1683741017.484503,22.145615339279175,Dev-Test,27,0
38,28,1683741017.6488006,22.30991291999817,Dev-Test,28,0
39,29,1683741017.8010125,22.462124824523926,Dev-Test,29,0
40,30,1683741017.9666407,22.627753019332886,Dev-Test,30,0
41,31,1683741018.1166728,22.777785062789917,Dev-Test,31,0
42,32,1683741018.2857237,22.94683599472046,Dev-Test,32,0
43,33,1683741018.4347482,23.095860481262207,Dev-Test,33,0
44,34,1683741018.6007802,23.261892557144165,Dev-Test,34,0
45,35,1683741018.7523067,23.413419008255005,Dev-Test,35,0
46,1,1683741065.8115523,1.6010277271270752,Dev-Test,1,0
47,2,1683741066.9062517,2.6957271099090576,Dev-Test,2,0
48,3,1683741067.9849572,3.77443265914917,Dev-Test,3,0
49,4,1683741068.7150495,4.5045249462127686,Dev-Test,4,0
50,5,1683741069.3648288,5.154304265975952,Dev-Test,5,0
51,6,1683741070.0031807,5.792656183242798,Dev-Test,6,0
52,1,1683741109.8720803,3.016542911529541,Dev-Test,1,0
53,2,1683741110.5598366,3.704299211502075,Dev-Test,2,0
